SearchBayesianSkopt: Resuming 'UserKNNCFRecommender_cosine' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'topK': 549, 'shrink': 90, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 3.7071362698897645} - results: PRECISION: 0.3786531, PRECISION_RECALL_MIN_DEN: 0.3807306, RECALL: 0.0678427, MAP: 0.2333779, MAP_MIN_DEN: 0.2344191, MRR: 0.6388344, NDCG: 0.3962329, F1: 0.1150687, HIT_RATE: 0.9672431, ARHR_ALL_HITS: 1.2004902, NOVELTY: 0.0054529, AVERAGE_POPULARITY: 0.6013475, DIVERSITY_MEAN_INTER_LIST: 0.8594622, DIVERSITY_HERFINDAHL: 0.9859399, COVERAGE_ITEM: 0.1055983, COVERAGE_ITEM_CORRECT: 0.0431364, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9669597, DIVERSITY_GINI: 0.0073219, SHANNON_ENTROPY: 7.1212766, RATIO_DIVERSITY_HERFINDAHL: 0.9863202, RATIO_DIVERSITY_GINI: 0.0295172, RATIO_SHANNON_ENTROPY: 0.5747253, RATIO_AVERAGE_POPULARITY: 2.9527580, RATIO_NOVELTY: 0.0256553, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 395, 'shrink': 596, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'URM_bias': 9.787802674919329} - results: PRECISION: 0.3619156, PRECISION_RECALL_MIN_DEN: 0.3625433, RECALL: 0.0583865, MAP: 0.2220158, MAP_MIN_DEN: 0.2222674, MRR: 0.5981313, NDCG: 0.3749302, F1: 0.1005514, HIT_RATE: 0.9147003, ARHR_ALL_HITS: 1.1314421, NOVELTY: 0.0058247, AVERAGE_POPULARITY: 0.4975712, DIVERSITY_MEAN_INTER_LIST: 0.9200557, DIVERSITY_HERFINDAHL: 0.9919988, COVERAGE_ITEM: 0.3560552, COVERAGE_ITEM_CORRECT: 0.1012238, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9144322, DIVERSITY_GINI: 0.0360460, SHANNON_ENTROPY: 8.6037316, RATIO_DIVERSITY_HERFINDAHL: 0.9923815, RATIO_DIVERSITY_GINI: 0.1453147, RATIO_SHANNON_ENTROPY: 0.6943674, RATIO_AVERAGE_POPULARITY: 2.4431922, RATIO_NOVELTY: 0.0274045, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 564, 'shrink': 259, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 1.0616348978594725} - results: PRECISION: 0.3783233, PRECISION_RECALL_MIN_DEN: 0.3802910, RECALL: 0.0676014, MAP: 0.2332481, MAP_MIN_DEN: 0.2342559, MRR: 0.6381434, NDCG: 0.3958818, F1: 0.1147063, HIT_RATE: 0.9660706, ARHR_ALL_HITS: 1.1996264, NOVELTY: 0.0054556, AVERAGE_POPULARITY: 0.6008406, DIVERSITY_MEAN_INTER_LIST: 0.8597481, DIVERSITY_HERFINDAHL: 0.9859685, COVERAGE_ITEM: 0.1107481, COVERAGE_ITEM_CORRECT: 0.0425826, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9657875, DIVERSITY_GINI: 0.0074756, SHANNON_ENTROPY: 7.1287196, RATIO_DIVERSITY_HERFINDAHL: 0.9863488, RATIO_DIVERSITY_GINI: 0.0301370, RATIO_SHANNON_ENTROPY: 0.5753260, RATIO_AVERAGE_POPULARITY: 2.9502691, RATIO_NOVELTY: 0.0256679, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'URM_bias': 1000.0} - results: PRECISION: 0.2715521, PRECISION_RECALL_MIN_DEN: 0.2723808, RECALL: 0.0462756, MAP: 0.1533011, MAP_MIN_DEN: 0.1536592, MRR: 0.4649045, NDCG: 0.2777512, F1: 0.0790758, HIT_RATE: 0.8085153, ARHR_ALL_HITS: 0.8276190, NOVELTY: 0.0066110, AVERAGE_POPULARITY: 0.2752352, DIVERSITY_MEAN_INTER_LIST: 0.9879845, DIVERSITY_HERFINDAHL: 0.9987912, COVERAGE_ITEM: 0.5943297, COVERAGE_ITEM_CORRECT: 0.2626945, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.8082784, DIVERSITY_GINI: 0.1291658, SHANNON_ENTROPY: 11.1630122, RATIO_DIVERSITY_HERFINDAHL: 0.9991765, RATIO_DIVERSITY_GINI: 0.5207155, RATIO_SHANNON_ENTROPY: 0.9009151, RATIO_AVERAGE_POPULARITY: 1.3514700, RATIO_NOVELTY: 0.0311041, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 17, 'shrink': 827, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'URM_bias': 469.7589720984227} - results: PRECISION: 0.3034516, PRECISION_RECALL_MIN_DEN: 0.3041307, RECALL: 0.0508388, MAP: 0.1772553, MAP_MIN_DEN: 0.1775910, MRR: 0.5068793, NDCG: 0.3112152, F1: 0.0870874, HIT_RATE: 0.8400997, ARHR_ALL_HITS: 0.9301438, NOVELTY: 0.0065837, AVERAGE_POPULARITY: 0.3241210, DIVERSITY_MEAN_INTER_LIST: 0.9782744, DIVERSITY_HERFINDAHL: 0.9978203, COVERAGE_ITEM: 0.8096240, COVERAGE_ITEM_CORRECT: 0.2676782, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.8398535, DIVERSITY_GINI: 0.1813362, SHANNON_ENTROPY: 11.0486152, RATIO_DIVERSITY_HERFINDAHL: 0.9982052, RATIO_DIVERSITY_GINI: 0.7310341, RATIO_SHANNON_ENTROPY: 0.8916827, RATIO_AVERAGE_POPULARITY: 1.5915105, RATIO_NOVELTY: 0.0309754, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 399, 'shrink': 604, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'URM_bias': 6.905003741590612} - results: PRECISION: 0.2767185, PRECISION_RECALL_MIN_DEN: 0.2769297, RECALL: 0.0406094, MAP: 0.1584182, MAP_MIN_DEN: 0.1585059, MRR: 0.4935416, NDCG: 0.2871574, F1: 0.0708249, HIT_RATE: 0.8301334, ARHR_ALL_HITS: 0.8688130, NOVELTY: 0.0070163, AVERAGE_POPULARITY: 0.1518992, DIVERSITY_MEAN_INTER_LIST: 0.9931014, DIVERSITY_HERFINDAHL: 0.9993029, COVERAGE_ITEM: 0.7524780, COVERAGE_ITEM_CORRECT: 0.2344537, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.8298901, DIVERSITY_GINI: 0.1883328, SHANNON_ENTROPY: 11.7498842, RATIO_DIVERSITY_HERFINDAHL: 0.9996883, RATIO_DIVERSITY_GINI: 0.7592401, RATIO_SHANNON_ENTROPY: 0.9482788, RATIO_AVERAGE_POPULARITY: 0.7458608, RATIO_NOVELTY: 0.0330107, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 1000.0} - results: PRECISION: 0.2728125, PRECISION_RECALL_MIN_DEN: 0.2736684, RECALL: 0.0465831, MAP: 0.1541039, MAP_MIN_DEN: 0.1544505, MRR: 0.4642326, NDCG: 0.2786844, F1: 0.0795782, HIT_RATE: 0.8093214, ARHR_ALL_HITS: 0.8294355, NOVELTY: 0.0066122, AVERAGE_POPULARITY: 0.2757051, DIVERSITY_MEAN_INTER_LIST: 0.9878685, DIVERSITY_HERFINDAHL: 0.9987796, COVERAGE_ITEM: 0.5946619, COVERAGE_ITEM_CORRECT: 0.2619193, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.8090842, DIVERSITY_GINI: 0.1293610, SHANNON_ENTROPY: 11.1610241, RATIO_DIVERSITY_HERFINDAHL: 0.9991649, RATIO_DIVERSITY_GINI: 0.5215025, RATIO_SHANNON_ENTROPY: 0.9007547, RATIO_AVERAGE_POPULARITY: 1.3537772, RATIO_NOVELTY: 0.0311095, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 627, 'shrink': 344, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 317.74816379395884} - results: PRECISION: 0.3780448, PRECISION_RECALL_MIN_DEN: 0.3800889, RECALL: 0.0675558, MAP: 0.2327804, MAP_MIN_DEN: 0.2338335, MRR: 0.6382154, NDCG: 0.3955285, F1: 0.1146279, HIT_RATE: 0.9668767, ARHR_ALL_HITS: 1.1981877, NOVELTY: 0.0054388, AVERAGE_POPULARITY: 0.6072971, DIVERSITY_MEAN_INTER_LIST: 0.8543101, DIVERSITY_HERFINDAHL: 0.9854248, COVERAGE_ITEM: 0.0945235, COVERAGE_ITEM_CORRECT: 0.0393156, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9665934, DIVERSITY_GINI: 0.0066747, SHANNON_ENTROPY: 7.0314172, RATIO_DIVERSITY_HERFINDAHL: 0.9858049, RATIO_DIVERSITY_GINI: 0.0269083, RATIO_SHANNON_ENTROPY: 0.5674732, RATIO_AVERAGE_POPULARITY: 2.9819721, RATIO_NOVELTY: 0.0255887, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 785, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 1000.0} - results: PRECISION: 0.3768137, PRECISION_RECALL_MIN_DEN: 0.3788368, RECALL: 0.0673855, MAP: 0.2317884, MAP_MIN_DEN: 0.2328506, MRR: 0.6372630, NDCG: 0.3943594, F1: 0.1143262, HIT_RATE: 0.9677561, ARHR_ALL_HITS: 1.1949362, NOVELTY: 0.0054186, AVERAGE_POPULARITY: 0.6157764, DIVERSITY_MEAN_INTER_LIST: 0.8466790, DIVERSITY_HERFINDAHL: 0.9846617, COVERAGE_ITEM: 0.0815660, COVERAGE_ITEM_CORRECT: 0.0352179, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9674725, DIVERSITY_GINI: 0.0059179, SHANNON_ENTROPY: 6.9088695, RATIO_DIVERSITY_HERFINDAHL: 0.9850415, RATIO_DIVERSITY_GINI: 0.0238571, RATIO_SHANNON_ENTROPY: 0.5575829, RATIO_AVERAGE_POPULARITY: 3.0236073, RATIO_NOVELTY: 0.0254937, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 792, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'URM_bias': 1000.0} - results: PRECISION: 0.3768870, PRECISION_RECALL_MIN_DEN: 0.3789119, RECALL: 0.0673791, MAP: 0.2317726, MAP_MIN_DEN: 0.2328114, MRR: 0.6372867, NDCG: 0.3943583, F1: 0.1143203, HIT_RATE: 0.9679760, ARHR_ALL_HITS: 1.1948572, NOVELTY: 0.0054177, AVERAGE_POPULARITY: 0.6161556, DIVERSITY_MEAN_INTER_LIST: 0.8463119, DIVERSITY_HERFINDAHL: 0.9846250, COVERAGE_ITEM: 0.0817321, COVERAGE_ITEM_CORRECT: 0.0351625, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9676923, DIVERSITY_GINI: 0.0059020, SHANNON_ENTROPY: 6.9042808, RATIO_DIVERSITY_HERFINDAHL: 0.9850048, RATIO_DIVERSITY_GINI: 0.0237933, RATIO_SHANNON_ENTROPY: 0.5572126, RATIO_AVERAGE_POPULARITY: 3.0254693, RATIO_NOVELTY: 0.0254898, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'URM_bias': 136.80181293746685} - results: PRECISION: 0.3742855, PRECISION_RECALL_MIN_DEN: 0.3764008, RECALL: 0.0670635, MAP: 0.2297221, MAP_MIN_DEN: 0.2307791, MRR: 0.6355021, NDCG: 0.3919992, F1: 0.1137463, HIT_RATE: 0.9668035, ARHR_ALL_HITS: 1.1885009, NOVELTY: 0.0053954, AVERAGE_POPULARITY: 0.6257903, DIVERSITY_MEAN_INTER_LIST: 0.8376610, DIVERSITY_HERFINDAHL: 0.9837600, COVERAGE_ITEM: 0.0724846, COVERAGE_ITEM_CORRECT: 0.0315078, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9665201, DIVERSITY_GINI: 0.0052652, SHANNON_ENTROPY: 6.7753518, RATIO_DIVERSITY_HERFINDAHL: 0.9841394, RATIO_DIVERSITY_GINI: 0.0212261, RATIO_SHANNON_ENTROPY: 0.5468073, RATIO_AVERAGE_POPULARITY: 3.0727784, RATIO_NOVELTY: 0.0253847, 
